scene_filename,iteration_number,population_size,evolution_steps,cell_size,elite_proportion,cells_length_weights_ratio,mutation_rate,avg_time,avg_path_length,avg_cells_num
basic_scene.json,2,10,20,1.0,0.1,0.2,0.1,2.778136968612671,107.38733757158508,35.5
basic_scene.json,2,10,20,1.0,0.1,0.2,0.5,8.605523943901062,174.7625544255528,58.5
basic_scene.json,2,10,20,1.0,0.1,0.2,0.9,13.740521669387817,292.02357206366133,81.0
basic_scene.json,2,10,20,1.0,0.1,0.8,0.1,2.9325119256973267,383.5319501855481,109.5
basic_scene.json,2,10,20,1.0,0.1,0.8,0.5,8.898335576057434,487.0950833841407,161.5
basic_scene.json,2,10,20,1.0,0.1,0.8,0.9,14.376568078994751,477.23856145660176,161.0
basic_scene.json,2,10,20,1.0,0.5,0.2,0.1,2.1086167097091675,80.9317126091916,36.0
basic_scene.json,2,10,20,1.0,0.5,0.2,0.5,4.929583549499512,151.53402659296177,54.0
basic_scene.json,2,10,20,1.0,0.5,0.2,0.9,8.208129525184631,136.1336005619991,54.0
basic_scene.json,2,10,20,1.0,0.5,0.8,0.1,2.0690659284591675,261.15121670273936,93.0
basic_scene.json,2,10,20,1.0,0.5,0.8,0.5,5.633493542671204,435.06637698451027,143.0
basic_scene.json,2,10,20,1.0,0.5,0.8,0.9,8.93428349494934,467.81179251330235,152.5
basic_scene.json,2,10,40,1.0,0.1,0.2,0.1,4.071401476860046,90.50787777699054,39.5
basic_scene.json,2,10,40,1.0,0.1,0.2,0.5,14.939638495445251,206.10746318106914,68.5
basic_scene.json,2,10,40,1.0,0.1,0.2,0.9,25.764927864074707,172.5304364968251,64.5
basic_scene.json,2,10,40,1.0,0.1,0.8,0.1,4.469848394393921,411.86442994852234,142.0
basic_scene.json,2,10,40,1.0,0.1,0.8,0.5,15.261321902275085,603.2113675794735,186.5
basic_scene.json,2,10,40,1.0,0.1,0.8,0.9,28.208943128585815,672.2055540659338,204.5
basic_scene.json,2,10,40,1.0,0.5,0.2,0.1,2.913612127304077,88.49536652722747,29.5
basic_scene.json,2,10,40,1.0,0.5,0.2,0.5,8.69497001171112,113.53459182909242,43.5
basic_scene.json,2,10,40,1.0,0.5,0.2,0.9,15.510735511779785,180.09972900066023,60.0
basic_scene.json,2,10,40,1.0,0.5,0.8,0.1,3.0186655521392822,386.6487763637988,120.0
basic_scene.json,2,10,40,1.0,0.5,0.8,0.5,9.16113555431366,535.9252917436258,178.5
basic_scene.json,2,10,40,1.0,0.5,0.8,0.9,17.03664207458496,799.0561320162278,214.0
basic_scene.json,2,20,20,1.0,0.1,0.2,0.1,5.244299530982971,113.14622696724754,44.5
basic_scene.json,2,20,20,1.0,0.1,0.2,0.5,16.155699610710144,182.16713236028716,65.0
basic_scene.json,2,20,20,1.0,0.1,0.2,0.9,26.778475046157837,304.40874054550625,98.0
basic_scene.json,2,20,20,1.0,0.1,0.8,0.1,5.448458313941956,404.59379300669576,124.5
basic_scene.json,2,20,20,1.0,0.1,0.8,0.5,17.36033809185028,611.859031633657,183.5
basic_scene.json,2,20,20,1.0,0.1,0.8,0.9,42.1155948638916,582.8542363235767,181.0
basic_scene.json,2,20,20,1.0,0.5,0.2,0.1,3.541944980621338,102.33198281253274,39.5
basic_scene.json,2,20,20,1.0,0.5,0.2,0.5,9.559547901153564,143.42134878828932,49.5
basic_scene.json,2,20,20,1.0,0.5,0.2,0.9,322.05080902576447,175.81550606847944,61.5
basic_scene.json,2,20,20,1.0,0.5,0.8,0.1,3.386613965034485,277.2236744600432,96.5
basic_scene.json,2,20,20,1.0,0.5,0.8,0.5,112.04628610610962,451.1130143163882,144.0
basic_scene.json,2,20,20,1.0,0.5,0.8,0.9,16.329983353614807,598.3915868030242,173.5
basic_scene.json,2,20,40,1.0,0.1,0.2,0.1,457.05106949806213,118.04242903578941,44.0
basic_scene.json,2,20,40,1.0,0.1,0.2,0.5,32.31897687911987,222.81701063568275,67.5
basic_scene.json,2,20,40,1.0,0.1,0.2,0.9,667.0621445178986,269.1759978395828,83.0
basic_scene.json,2,20,40,1.0,0.1,0.8,0.1,8.179311394691467,472.85252680688995,163.0
basic_scene.json,2,20,40,1.0,0.1,0.8,0.5,32.34820091724396,739.5610533280562,221.0
basic_scene.json,2,20,40,1.0,0.1,0.8,0.9,56.4720915555954,916.1409595923465,249.0
basic_scene.json,2,20,40,1.0,0.5,0.2,0.1,5.032392382621765,91.03336598909274,37.5
basic_scene.json,2,20,40,1.0,0.5,0.2,0.5,17.094138503074646,166.93896937500148,62.5
basic_scene.json,2,20,40,1.0,0.5,0.2,0.9,29.661338448524475,169.84519081494417,64.5
basic_scene.json,2,20,40,1.0,0.5,0.8,0.1,5.573317170143127,475.661332663819,149.5
basic_scene.json,2,20,40,1.0,0.5,0.8,0.5,18.07290506362915,586.927680180376,194.5
basic_scene.json,2,20,40,1.0,0.5,0.8,0.9,31.01094102859497,753.8910740038398,210.0
